Number	Selection	P_fix	P_fix_MH
1169	0.00481653777136	0.0155033450015	1.0
1170	-147.758940029	0.0	0.0
1171	-0.018909420046	0.000898467808721	0.023657734695
1172	-1.02732734146	3.98340349148e-89	4.56884147861e-89
1173	-17.9659841815	0.0	0.0
1174	-709.7756926	0.0	0.0
1175	0.00186242027921	0.0119554941304	1.0
1176	-0.915146858525	1.69953488441e-79	2.02413886582e-79
1177	-0.00266694945693	0.00758924334553	0.589750335109
1178	-0.0008890427833	0.00914541817185	0.838592430119
1179	-0.147502842502	5.29090097253e-14	2.07102446081e-13
1180	-0.00439546647099	0.00626790260827	0.41882489368
1181	-97.0294786901	0.0	0.0
1182	-709.7756926	0.0	0.0
1183	-520.376808972	0.0	0.0
1184	-1.20341529124	2.99876633503e-104	3.2957112658e-104
1185	-147.761346618	0.0	0.0
1186	0.0070202933316	0.0184814990874	1.0
1187	-0.847168984864	1.15749008179e-73	1.4180075967e-73
1188	0.00626176863372	0.0174264750018	1.0
1189	-6.22225861483	0.0	0.0
1190	0.00309725298431	0.0133735283897	1.0
1191	0.00645247496208	0.017688852839	1.0
1192	0.00010568147789	0.0101049858135	1.0
1193	-0.21986761005	4.41279807332e-20	1.24027109038e-19
1194	-0.00757872195631	0.00429882406897	0.22299923292
1195	0.0070202933316	0.0184814990874	1.0
1196	-0.0642671597877	3.58967770127e-07	2.97609762341e-06
1197	0.00240248210315	0.0125639343565	1.0
1198	0.000549752434036	0.0105540215005	1.0
1199	-0.62141709446	2.60788305474e-54	3.66566702918e-54
1200	0.0070202933316	0.0184814990874	1.0
1201	0.00283302528914	0.0130620988586	1.0
1202	-4.6766266974	0.0	0.0
1203	-0.0122775884458	0.00233365137778	0.0879521368186
1204	-0.0387891194479	3.44905612781e-05	0.000461861428269
1205	-0.02828763792	0.000203918011286	0.00369434388692
1206	0.0070202933316	0.0184814990874	1.0
1207	0.00453381034275	0.0151410318865	1.0
1208	0.00272969603263	0.0129414871354	1.0
1209	-17.7584026504	0.0	0.0
1210	-0.00942198561821	0.00340761874622	0.154810552367
1211	-1.41356292225	2.63508757174e-122	2.8008494307e-122
1212	-0.00715328923336	0.00452919634169	0.242597577473
1213	-6.43775909578e-05	0.00993640022558	0.987334132889
1214	-0.0177482737623	0.00106901422492	0.029772855051
1215	0.00474688040718	0.0154136475786	1.0
1216	-2.49841362364	1.4378014933e-215	1.44758624813e-215
1217	0.00576883558664	0.0167574375861	1.0
1218	-0.582577947238	5.51583372218e-51	8.01573263213e-51
1219	-26.3408213611	0.0	0.0
1220	-31.0517572881	0.0	0.0
1221	-709.7756926	0.0	0.0
1222	-0.785819401355	2.11853324493e-68	2.67391811417e-68
1223	0.00613143154648	0.0172482833358	1.0
1224	-143.492369279	0.0	0.0
1225	-0.373619633403	3.92273512662e-33	7.45302995519e-33
1226	0.00681114305776	0.0181875657582	1.0
1227	-0.0140859284157	0.0018164639751	0.0614818157776
1228	-0.00530618320623	0.00564508006004	0.349719359956
1229	-3.1143626846	1.56364472911e-268	1.56673427241e-268
1230	-53.1012831149	0.0	0.0
